id	priority	code	name	reputation	schooltype	belongto	major	department	studentnum	major_detail	province	city	money	sex	years	language	fill_date	edit_date
192	本一A	10001	北京邮电大学	100	综合	教育部	城乡规划	城乡规划	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
193	本一A	10001	北京邮电大学	100	综合	教育部	法学	法学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
194	本一A	10001	北京邮电大学	100	综合	教育部	工科试验班类	工科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
195	本一A	10001	北京邮电大学	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
196	本一A	10001	北京邮电大学	100	综合	教育部	经济学类	经济学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
197	本一A	10001	北京邮电大学	100	综合	教育部	理科试验班类	理科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
198	本一A	10001	北京邮电大学	100	综合	教育部	生物科学	生物科学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
199	本一A	10001	北京邮电大学	100	综合	教育部	物理学类	物理学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
200	本一A	10001	北京邮电大学	100	综合	教育部	心理学	心理学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
201	本一A	10001	北京邮电大学	100	综合	教育部	新闻传播学类	新闻传播学类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
202	本一A	10001	北京邮电大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
203	本一A	10001	北京印刷学院	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
204	本一A	10001	北京印刷学院	100	综合	教育部	城乡规划	城乡规划	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
205	本一A	10001	北京印刷学院	100	综合	教育部	地球物理学类	地球物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
206	本一A	10001	北京印刷学院	100	综合	教育部	法学	法学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
207	本一A	10001	北京印刷学院	100	综合	教育部	工科试验班类	工科试验班类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
208	本一A	10001	北京印刷学院	100	综合	教育部	工商管理类	工商管理类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
209	本一A	10001	北京印刷学院	100	综合	教育部	经济学类	经济学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
210	本一A	10001	北京印刷学院	100	综合	教育部	理科试验班类	理科试验班类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
211	本一A	10001	北京印刷学院	100	综合	教育部	生物科学	生物科学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
212	本一A	10001	北京印刷学院	100	综合	教育部	物理学类	物理学类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
213	本一A	10001	北京印刷学院	100	综合	教育部	心理学	心理学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
214	本一A	10001	北京印刷学院	100	综合	教育部	计算机科学与技术	计算机科学与技术	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
215	本一A	10001	北京建筑大学	100	综合	教育部	数学类	数学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
216	本一A	10001	北京建筑大学	100	综合	教育部	城乡规划	城乡规划	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
217	本一A	10001	北京建筑大学	100	综合	教育部	地球物理学类	地球物理学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
218	本一A	10001	北京建筑大学	100	综合	教育部	电子信息类	电子信息类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
219	本一A	10001	北京建筑大学	100	综合	教育部	法学	法学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
220	本一A	10001	北京建筑大学	100	综合	教育部	工科试验班类	工科试验班类	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
221	本一A	10001	北京建筑大学	100	综合	教育部	工商管理类	工商管理类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
222	本一A	10001	北京建筑大学	100	综合	教育部	经济学类	经济学类	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
223	本一A	10001	北京建筑大学	100	综合	教育部	理科试验班类	理科试验班类	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
224	本一A	10001	北京建筑大学	100	综合	教育部	生物科学	生物科学	4	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
225	本一A	10001	北京建筑大学	100	综合	教育部	物理学类	物理学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
226	本一A	10001	北京建筑大学	100	综合	教育部	心理学	心理学	2	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
227	本一A	10001	北京建筑大学	100	综合	教育部	新闻传播学类	新闻传播学类	1	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
228	本一A	10001	北京建筑大学	100	综合	教育部	计算机科学与技术	计算机科学与技术	3	123456	北京	海淀	5000	0	4	0	2015/8/14 17:18:56	2015/8/14 17:18:56
